"chrom","start","end","nCpGs","Estimate","StdErr","Stat","pValue","FDR"
"chr10","100028320","100028499",3,-0.0121315838241095,0.00883680490927906,-1.37284730721743,0.169799820449227,0.564994069590411
"chr10","101282726","101282883",4,0.0416862103504213,0.0148515278696545,2.80686342282648,0.00500264469904388,0.23780136348412
"chr10","101290029","101290270",3,-0.00268947611039428,0.00732135230322526,-0.367346905189836,0.713360270684756,0.885398746507564
"chr10","101297508","101297642",3,0.00816444743641252,0.00867303406104278,0.941360010689372,0.346520399212421,0.705014376079476
"chr10","101825029","101825185",4,-0.00379868322926477,0.0117146257605134,-0.324268423671631,0.745734823454536,0.898998214967863
"chr10","101874887","101875035",3,-0.0208965609392976,0.0117647670219916,-1.77619844916912,0.0757002137992231,0.460858255890407
"chr10","102107584","102107676",3,0.00749418059637518,0.0158062354311438,0.474128114124444,0.635408551427646,0.850383082369182
"chr10","102279330","102279455",3,0.0264983086349363,0.0163257621361501,1.62309780174128,0.104568499474765,0.500047995533285
"chr10","102279690","102279703",4,0.0192710961756139,0.0166022654960275,1.16075099390653,0.245743177531065,0.626058399958241
"chr10","102419564","102419617",3,-0.00953111377911531,0.0057660366289014,-1.65297489289992,0.0983359734466065,0.490107605613445
"chr10","102505330","102505349",3,-0.00776952298743585,0.00718837953026463,-1.08084484892937,0.27976613466718,0.655153628909453
"chr10","102590168","102590401",4,-0.00682087085104049,0.00600109478354196,-1.13660441920477,0.255703691830214,0.632994519210103
"chr10","102765227","102765364",3,0.0222073920228166,0.0131353918326297,1.69065318383964,0.0909030606518861,0.47971712266346
"chr10","102766322","102766610",4,0.00292528130721176,0.0087886914258368,0.332846059267945,0.739250488337847,0.896735522614304
"chr10","102778683","102778909",4,-0.00129963971421917,0.00871666486399974,-0.149098277207691,0.881476085285721,0.951076534895842
"chr10","102789894","102789979",3,-0.00471618011545238,0.0136208853851744,-0.346246222773866,0.729157679782716,0.890646534206503
"chr10","102825997","102826029",3,-0.00745958352595523,0.0062590235142621,-1.1918126699728,0.233334706677634,0.619085744095272
"chr10","102891019","102891080",4,-0.00707874976082304,0.00830363616447919,-0.852487948725898,0.393943324944341,0.727652633566372
"chr10","102896376","102896640",4,-0.00865001339132912,0.00729754439095813,-1.18533206896922,0.235886178771586,0.619833465947316
"chr10","102986525","102986636",3,-0.00433370901075655,0.00857139280725402,-0.505601494203941,0.613136432437741,0.841128274673423
"chr10","102996310","102996571",4,-0.00270682852516849,0.00634380848816785,-0.426688247322902,0.669606411891185,0.867184966873936
"chr10","103070372","103070503",3,-0.0196440818472143,0.0125555071214892,-1.56457892597526,0.117681673419734,0.522412655507568
"chr10","103113695","103113752",4,0.00012254797398329,0.00702578297239398,0.0174426073883596,0.986083518537206,0.994007948214303
"chr10","103543172","103543235",5,0.00180936100108858,0.00572669015601596,0.315952313080502,0.752038704014038,0.903258860799577
"chr10","104005256","104005440",3,-0.00998901161062367,0.00643705016891153,-1.55179955857215,0.12071019161482,0.525368556387631
"chr10","104629122","104629151",4,-0.00945093104212873,0.00805203770025482,-1.17373159365978,0.240502551361705,0.622836676157471
"chr10","105212270","105212289",3,-0.0120770668952585,0.0104333435069827,-1.15754521905425,0.247049675763206,0.627446331950912
"chr10","105233022","105233106",3,-0.00947879931850763,0.0118678126072786,-0.798698094768891,0.424465491797682,0.743073634819805
"chr10","105253551","105253567",3,-0.00776930513337091,0.00584529046163574,-1.32915638399204,0.183796381381526,0.580459585357277
"chr10","105344723","105344807",4,-0.00788509274314747,0.00889308175485227,-0.886654700868479,0.375264833848943,0.721766879320184
"chr10","105420747","105421005",3,-0.0188818360204787,0.0175054171937261,-1.07862816472868,0.280753520595277,0.655844999642859
"chr10","105428506","105428651",3,0.00904975781735281,0.0109727526676277,0.82474818229083,0.409514570794947,0.737227071115817
"chr10","106028543","106028939",7,0.00557613599005202,0.0078771593617278,0.707886654819299,0.479015647720574,0.774753975576793
"chr10","106034575","106034747",4,-0.010965974716167,0.00941369012235142,-1.16489650430812,0.244060888673353,0.626058399958241
"chr10","1102710","1102726",4,-0.00995624487586019,0.0182383757358129,-0.545895370293862,0.585137860972465,0.827860508837841
"chr10","111767639","111767685",3,0.000545622407103652,0.00614174390888131,0.0888383519727435,0.929210377708809,0.971382264339918
"chr10","115860799","115860959",3,-0.00533537094500899,0.0110032239823954,-0.484891605728041,0.627753237193732,0.84833393269385
"chr10","118387095","118387327",3,-0.0362635140001583,0.0231556692979448,-1.56607496564036,0.117331068069972,0.522412655507568
"chr10","119293967","119294332",4,0.0161720157913934,0.00931939571870888,1.7353073396087,0.0826863824268325,0.467256109108985
"chr10","119295619","119295875",4,0.00382194590217917,0.00784343434663094,0.487279644766944,0.626060170676921,0.847450568608605
"chr10","119296182","119296305",3,0.00962220165957365,0.0093012949295984,1.03450129604579,0.300901871214134,0.672851501863987
"chr10","119296612","119296942",3,0.000116893666875577,0.0111402902358248,0.0104928744584832,0.991628051097256,0.996721681932972
"chr10","119301760","119301766",3,0.000510745697828151,0.00454663657662117,0.112334841199846,0.91055791734363,0.963719363854377
"chr10","119312767","119313075",3,-0.00696867070083254,0.0101029477425059,-0.689766083963143,0.490341300433284,0.780340157667729
"chr10","1205563","1205858",7,-0.018579821198602,0.020487633187582,-0.906879824940619,0.364470351116396,0.716597150722652
"chr10","121632322","121632429",3,0.00352314353592806,0.00447750767193913,0.786853712838476,0.431367506227771,0.745934902957319
"chr10","122216372","122216378",3,-0.00614900314322958,0.00969519894900843,-0.634231765182959,0.525929580009748,0.80101105398745
"chr10","123358183","123358284",3,-0.0162982627685228,0.00903528270544973,-1.8038464650024,0.0712553793933219,0.459263920938249
"chr10","124220359","124220504",4,-0.00947165224586613,0.012131433443851,-0.780752933254315,0.434947821238504,0.746526362773822
"chr10","124578209","124578366",3,-0.0237713888693951,0.0153050778244211,-1.55317007480126,0.120382508521601,0.52487632057725
"chr10","124638756","124639257",14,0.018599074052424,0.0119141019809712,1.5610974358059,0.118500763017394,0.522728343265184
"chr10","125650957","125651085",3,-0.00578207372520018,0.00598838282329356,-0.965548445351409,0.334270183323794,0.697235991481654
"chr10","125732604","125732842",4,0.00996906442389246,0.0113326993339981,0.879672541385202,0.379036728593886,0.723185521170551
"chr10","126136435","126136709",3,-0.00754336266619551,0.0120331344891867,-0.626882602614818,0.530736192062702,0.802048668978809
"chr10","126278299","126278502",4,0.0137874224926385,0.00925684194534655,1.48943047467387,0.136374048682166,0.535574232845669
"chr10","128077307","128077376",6,-0.00551170273180366,0.00645802345827299,-0.853465888969936,0.393400996180739,0.727652633566372
"chr10","128994603","128994644",4,0.0119937962433469,0.00911434960059444,1.315924533174,0.188199373530662,0.584916308151374
"chr10","129535893","129535968",3,-0.00509636818131789,0.00762403716435555,-0.668460563800082,0.503839647048826,0.786640346674068
"chr10","129536661","129536818",3,0.0117626629078095,0.00978760517919335,1.20179172457985,0.229444232492954,0.619085744095272
"chr10","129948933","129949004",3,0.00711187813735009,0.0118527761859046,0.60001792202974,0.54849429144188,0.812116850403656
"chr10","130063978","130064137",3,0.00423960308709765,0.0117616475485,0.360459966991472,0.718503188981034,0.886709788217764
"chr10","131265059","131265209",7,-0.0216268588205915,0.0167318162260336,-1.29255895047075,0.196163644806275,0.595501267647878
