"chrom","start","end","nCpGs","Estimate","StdErr","Stat","pValue","FDR"
"chr10","100028320","100028499",3,-0.0121315838241108,0.0224664020860261,-0.539987835064014,0.58920542183678,0.995182301078223
"chr10","101282726","101282883",4,0.0416862103504383,0.0209549780688874,1.98932254729158,0.0466656125237817,0.780116010287719
"chr10","101290029","101290270",3,-0.0026894761103973,0.0197386333228919,-0.136254423819615,0.891620152306559,0.995182301078223
"chr10","101297508","101297642",3,0.0081644474363466,0.0173757647877265,0.469875573023042,0.638443917098931,0.995182301078223
"chr10","101825029","101825185",4,-0.00379868322926368,0.0184406887750093,-0.205994649961862,0.836795090400933,0.995182301078223
"chr10","101874887","101875035",3,-0.0208965609393204,0.0119765146135042,-1.74479484338109,0.0810205867514819,0.878688761030623
"chr10","102107584","102107676",3,0.00749418059630734,0.0145091317963604,0.516514750950656,0.605494939122366,0.995182301078223
"chr10","102279330","102279455",3,0.0264983086349392,0.0159319861625506,1.66321438925334,0.0962695283133881,0.886577100770595
"chr10","102279690","102279703",4,0.0192710961755913,0.0163573075735718,1.17813375391481,0.238743287401208,0.995182301078223
"chr10","102419564","102419617",3,-0.00953111377911546,0.0101947872535934,-0.934900703862753,0.349839474329515,0.995182301078223
"chr10","102505330","102505349",3,-0.00776952298739138,0.0205678638991297,-0.377750602857701,0.70561587252193,0.995182301078223
"chr10","102590168","102590401",4,-0.00682087085101746,0.0093635501792432,-0.728449222831927,0.466338640997526,0.995182301078223
"chr10","102765227","102765364",3,0.0222073920228303,0.0124789630490043,1.77958632745549,0.0751436854347742,0.873166054980797
"chr10","102766322","102766610",4,0.00292528130721817,0.0074937682869864,0.390361857371301,0.696268988438091,0.995182301078223
"chr10","102778683","102778909",4,-0.00129963971422067,0.0342660732431111,-0.0379278858420684,0.969745179353479,0.998024092804188
"chr10","102789894","102789979",3,-0.00471618011549809,0.0236930135566863,-0.19905361992954,0.842220801086591,0.995182301078223
"chr10","102825997","102826029",3,-0.00745958352589913,0.0220524145632848,-0.338266066261907,0.735162693229498,0.995182301078223
"chr10","102891019","102891080",4,-0.00707874976074787,0.00861967809377569,-0.82123133645321,0.411514510290917,0.995182301078223
"chr10","102896376","102896640",4,-0.00865001339133843,0.00959582981777445,-0.901434639380111,0.367357270875788,0.995182301078223
"chr10","102986525","102986636",3,-0.00433370901071679,0.0137235437691175,-0.315786438519552,0.752164612301019,0.995182301078223
"chr10","102996310","102996571",4,-0.00270682852517408,0.0138874339695411,-0.194912071669316,0.845461783615376,0.995182301078223
"chr10","103070372","103070503",3,-0.0196440818472116,0.011825520157222,-1.66116006619926,0.0966813034543188,0.886577100770595
"chr10","103113695","103113752",4,0.000122547973984453,0.00701437657386147,0.0174709716100955,0.986060890610678,0.998024092804188
"chr10","103543172","103543235",5,0.00180936100106095,0.00631417576866921,0.286555374343388,0.774452788058347,0.995182301078223
"chr10","104005256","104005440",3,-0.00998901161065521,0.00617496914405196,-1.61766178544829,0.105735505836567,0.903036232591892
"chr10","104629122","104629151",4,-0.00945093104215257,0.00690648142122572,-1.36841474923931,0.171182290094793,0.991915663611832
"chr10","105212270","105212289",3,-0.012077066895253,0.0100893044655772,-1.19701679500878,0.231300008607407,0.995182301078223
"chr10","105233022","105233106",3,-0.00947879931851956,0.0227602536377706,-0.416462815809289,0.677071371374746,0.995182301078223
"chr10","105253551","105253567",3,-0.00776930513351304,0.0140215883710816,-0.554095936059328,0.57951319124453,0.995182301078223
"chr10","105344723","105344807",4,-0.00788509274315615,0.0106276458665737,-0.741941615495157,0.458122710361401,0.995182301078223
"chr10","105420747","105421005",3,-0.0188818360204857,0.0216978290445784,-0.870217752278019,0.384181416284934,0.995182301078223
"chr10","105428506","105428651",3,0.00904975781737033,0.0124518038250344,0.72678287776874,0.467358973623103,0.995182301078223
"chr10","106028543","106028939",7,0.00557613599005806,0.0113481433904606,0.491369891813794,0.623164855068229,0.995182301078223
"chr10","106034575","106034747",4,-0.0109659747161616,0.0143912137533126,-0.761990955324211,0.446065402364458,0.995182301078223
"chr10","1102710","1102726",4,-0.00995624487583777,0.0179360978176931,-0.55509537119141,0.57882942869982,0.995182301078223
"chr10","111767639","111767685",3,0.000545622407091654,0.00535073883028496,0.101971414490173,0.918779364716055,0.995182301078223
"chr10","115860799","115860959",3,-0.00533537094510124,0.0108091126776657,-0.493599345682226,0.621589162984407,0.995182301078223
"chr10","118387095","118387327",3,-0.0362635140001744,0.022606100436251,-1.60414725672998,0.108681597421574,0.903036232591892
"chr10","119293967","119294332",4,0.0161720157914578,0.022060648184194,0.733070744632279,0.463515282308803,0.995182301078223
"chr10","119295619","119295875",4,0.00382194590217355,0.0083222210233706,0.459245902198548,0.64605759109949,0.995182301078223
"chr10","119296182","119296305",3,0.00962220165958487,0.0103286079753464,0.931606822773442,0.351539755832891,0.995182301078223
"chr10","119296612","119296942",3,0.000116893666854499,0.0245593790317463,0.00475963446402281,0.996202375484737,0.999865081005861
